Date,SiteId,BeamId,Latitude,Longitude
5/27/2018,VSAT019,2,84.11366865,26.373865
5/20/2018,VSAT022,1,-76.20196906,-58.62315517
5/25/2018,VSAT022,5,40.86471428,-29.41544062
5/22/2018,VSAT022,1,-0.094958505,-50.67093397
5/23/2018,VSAT021,5,-92.77032955,-50.89649143
5/20/2018,VSAT005,3,-59.09536375,29.31493349
5/21/2018,VSAT010,4,-96.85646949,72.05181365
5/24/2018,VSAT011,2,26.80930801,47.7442557
5/26/2018,VSAT003,6,-78.16334028,57.37369857
5/25/2018,VSAT013,2,-27.83994509,91.43890618
5/26/2018,VSAT020,3,86.00157172,38.02118204
5/20/2018,VSAT012,6,-17.17735601,-81.62787399
5/22/2018,VSAT002,5,4.054520053,-20.89380288
5/25/2018,VSAT010,3,-31.52063149,-31.83331525
5/28/2018,VSAT020,5,-96.40866851,-12.1067408
5/23/2018,VSAT021,5,88.25485077,71.02371782
5/25/2018,VSAT002,1,-87.6161605,-81.12514987
5/24/2018,VSAT008,6,-79.1056533,-33.17594125
5/24/2018,VSAT004,2,-57.86541507,-84.34924318
5/26/2018,VSAT004,6,57.60408411,95.8830108
5/28/2018,VSAT017,2,87.6157517,40.13264909
5/21/2018,VSAT013,3,-27.2576201,1.500764876
5/22/2018,VSAT012,5,78.34011405,93.50412805
5/23/2018,VSAT020,6,83.16416115,32.31206929
5/28/2018,VSAT015,2,64.84664377,52.5610166
5/26/2018,VSAT003,1,16.68651996,34.05828366
5/23/2018,VSAT011,1,-33.79454617,-80.61693669
5/27/2018,VSAT014,2,24.61440927,-80.96668866
5/26/2018,VSAT014,5,-40.85265206,53.3455646
5/19/2018,VSAT017,2,59.50106355,97.61396293
5/26/2018,VSAT021,4,9.353338076,-29.26389518
5/27/2018,VSAT019,2,61.53648265,98.15931439
5/22/2018,VSAT019,4,-39.35639943,36.76312929
5/22/2018,VSAT001,1,30.97385753,15.44360149
5/19/2018,VSAT011,1,-46.28760749,35.52750425
5/27/2018,VSAT006,5,-60.56444827,34.59964026
5/28/2018,VSAT016,5,-11.57709004,-80.70350801
5/20/2018,VSAT013,3,71.11703632,-46.49656876
5/28/2018,VSAT003,4,61.12698799,21.37975585
5/28/2018,VSAT016,2,-89.00161305,26.73147769
5/25/2018,VSAT003,4,-7.291187031,3.217133673
5/20/2018,VSAT002,3,7.279868248,-89.91997351
5/19/2018,VSAT012,6,-94.81665649,-16.97930713
5/23/2018,VSAT011,3,8.197301306,10.12156563
5/21/2018,VSAT008,5,58.70345241,-65.37377995
5/28/2018,VSAT018,5,67.10047118,85.10815276
5/21/2018,VSAT022,1,0.939793598,6.24512311
5/27/2018,VSAT011,6,-47.9604085,-0.648704608
5/27/2018,VSAT004,5,12.58510591,-39.98192456
5/22/2018,VSAT009,2,-30.69977746,37.81297923
5/19/2018,VSAT013,5,-85.04447302,-53.33877649
5/28/2018,VSAT020,6,58.55375225,-68.6336421
5/22/2018,VSAT012,4,-31.54000982,5.647661831
5/28/2018,VSAT018,3,38.92553584,52.80341785
5/20/2018,VSAT012,5,56.40299332,45.45913355
5/20/2018,VSAT014,1,74.55946231,87.88605842
5/20/2018,VSAT016,2,-24.43061007,34.41159335
5/26/2018,VSAT015,2,-1.10867638,73.22214952
5/21/2018,VSAT015,1,22.29550482,8.148074348
5/24/2018,VSAT004,3,7.375510122,-27.86076896
5/27/2018,VSAT003,3,-28.1823877,13.24411396
5/21/2018,VSAT015,3,-7.774784417,52.09443368
5/25/2018,VSAT018,2,-92.07585888,-88.90137656
5/27/2018,VSAT002,5,43.04636165,69.76380521
5/28/2018,VSAT020,2,-86.95061409,-18.39712662
5/27/2018,VSAT008,5,96.71348476,58.9148542
5/24/2018,VSAT015,1,3.647093184,-26.63726411
5/28/2018,VSAT015,2,42.50776855,-54.31928839
5/22/2018,VSAT009,2,84.951262,-78.11252292
5/27/2018,VSAT021,1,-63.45964129,25.4597965
5/19/2018,VSAT006,5,48.50201586,77.88243937
5/25/2018,VSAT016,2,53.34138528,-74.09138782
5/24/2018,VSAT016,5,-13.696116,71.90099366
5/21/2018,VSAT010,3,-10.16839102,79.05325577
5/20/2018,VSAT003,1,-36.66418143,-3.386593299
5/28/2018,VSAT020,5,84.35080383,41.72312354
5/20/2018,VSAT013,2,-32.93608531,-56.05701086
5/28/2018,VSAT002,1,-93.62321316,-9.426860545
5/21/2018,VSAT014,3,70.42508516,-22.6867164
5/19/2018,VSAT010,3,43.16681719,2.694107167
5/24/2018,VSAT016,3,-77.40821884,72.65374473
5/26/2018,VSAT002,5,-20.64784301,53.42930006
5/26/2018,VSAT009,4,-8.535990644,-54.48082869
5/25/2018,VSAT003,3,-90.26930079,-53.94963569
5/22/2018,VSAT014,4,0.021615446,-78.10847037
5/28/2018,VSAT023,2,34.36894833,-89.69225814
5/27/2018,VSAT005,1,47.00497692,-71.31139124
5/24/2018,VSAT014,4,58.41126024,-2.462251628
5/28/2018,VSAT005,1,-75.17195415,49.82601612
5/26/2018,VSAT006,1,-49.24388497,-88.9141555
5/23/2018,VSAT009,3,61.22854379,40.40290353
5/23/2018,VSAT002,2,38.76899543,82.55226965
5/19/2018,VSAT005,1,-49.1507283,-25.90656295
5/20/2018,VSAT018,5,-10.65194927,49.2904386
5/19/2018,VSAT007,4,55.39764525,-90.17307027
5/19/2018,VSAT006,3,15.04553135,-17.04682052
5/25/2018,VSAT013,1,-90.46554164,-79.73442707
5/23/2018,VSAT003,6,22.39073137,1.287681085
5/22/2018,VSAT002,2,-67.95648053,34.07841258
5/26/2018,VSAT004,4,-14.15214345,90.12234605
5/27/2018,VSAT011,1,-8.564406854,-60.45082083
5/23/2018,VSAT018,1,-46.58280358,82.48040921
5/23/2018,VSAT013,1,11.13147269,-2.598258373
5/20/2018,VSAT017,2,-79.04334339,-45.14072048
5/28/2018,VSAT014,4,39.66277821,3.754487266
5/27/2018,VSAT016,5,57.53415757,-25.04313842
5/19/2018,VSAT005,6,-78.23714719,-42.38538456
5/27/2018,VSAT008,4,-24.51673741,25.90103599
5/22/2018,VSAT001,2,-38.27595398,-63.07042355
5/23/2018,VSAT016,3,75.23790743,76.20955977
5/21/2018,VSAT010,3,65.29665772,-94.56034866
5/26/2018,VSAT012,3,28.75415271,-40.78382852
5/19/2018,VSAT021,2,60.08661098,45.06768629
5/25/2018,VSAT011,4,-7.627171276,74.35640744
5/27/2018,VSAT009,1,-81.91401051,46.55630523
5/28/2018,VSAT008,5,-5.156280841,23.84811288
5/21/2018,VSAT013,1,49.20799792,92.4763721
5/19/2018,VSAT018,3,41.42390681,-41.86127114
5/23/2018,VSAT013,1,24.66331833,-95.04167577
5/22/2018,VSAT010,3,65.48471679,33.97238762
5/20/2018,VSAT004,2,74.43899725,-63.25176991
5/23/2018,VSAT014,4,-51.03984107,34.19511679
5/25/2018,VSAT017,2,88.18422227,-95.65264439
5/22/2018,VSAT022,5,-4.722326204,-43.18429847
5/20/2018,VSAT012,4,84.60340198,-67.00203149
5/19/2018,VSAT002,3,85.85448368,30.1323561
5/20/2018,VSAT008,6,-44.52202711,-27.67608875
5/27/2018,VSAT008,3,-43.20451917,-28.30019119
5/24/2018,VSAT009,6,28.42226319,53.50927748
5/20/2018,VSAT002,2,-34.02315152,73.8672533
5/19/2018,VSAT022,4,95.37757105,-88.3350998
5/20/2018,VSAT002,6,64.46820167,47.42523175
5/19/2018,VSAT009,1,31.45419971,-81.87223145
5/25/2018,VSAT007,5,32.66063183,72.99136093
5/21/2018,VSAT005,6,-74.39230884,73.05408101
5/20/2018,VSAT022,1,6.124849232,79.73316446
5/23/2018,VSAT012,6,3.223228016,-50.80829044
5/24/2018,VSAT011,5,87.60800076,60.39068854
5/20/2018,VSAT018,6,70.94864891,78.89123609
5/27/2018,VSAT003,5,44.87853601,-76.35374529
5/24/2018,VSAT018,5,-90.33342314,68.14885316
5/25/2018,VSAT006,3,-90.28612505,-48.52896663
5/23/2018,VSAT021,5,97.05603027,-84.75088349
5/26/2018,VSAT020,2,-24.82583851,91.9178008
5/21/2018,VSAT003,1,67.36688428,50.79713032
5/20/2018,VSAT005,4,-91.1824654,-27.72403137
5/19/2018,VSAT007,2,-74.82852014,-71.30374902
5/23/2018,VSAT001,4,-41.39458393,-11.45333866
5/26/2018,VSAT002,6,-18.7802264,-78.61343505
5/24/2018,VSAT008,1,-13.38611473,25.50205742
5/20/2018,VSAT006,2,-34.99531694,89.985631
5/19/2018,VSAT020,4,87.74300612,85.75716404
5/21/2018,VSAT006,6,-11.32940711,20.82178253
5/23/2018,VSAT010,1,71.71214578,-40.26685078
5/25/2018,VSAT009,2,37.13678553,26.9119802
5/28/2018,VSAT001,2,-86.42490944,-14.70605668
5/19/2018,VSAT006,3,70.76043586,41.5073991
5/22/2018,VSAT019,4,1.729993428,32.90184566
5/22/2018,VSAT011,3,-88.85000854,-45.4457868
5/26/2018,VSAT006,1,-34.81632391,81.69012
5/28/2018,VSAT004,1,-56.66152168,-26.2972214
5/28/2018,VSAT021,5,-64.60776929,29.896373
5/19/2018,VSAT011,5,-24.13378032,21.14819462
5/26/2018,VSAT005,4,-31.05812476,-94.40010273
5/24/2018,VSAT001,1,-6.833005426,51.29348474
5/21/2018,VSAT001,1,94.55206996,40.25103878
5/26/2018,VSAT008,3,-80.38518965,-8.228219777
5/20/2018,VSAT010,6,-28.63119783,-78.68212666
5/20/2018,VSAT008,6,-23.99093934,81.9779945
5/22/2018,VSAT022,2,45.04715552,28.26645818
5/19/2018,VSAT003,5,32.37325304,67.72051187
5/19/2018,VSAT008,3,25.81504897,-28.04244306
5/25/2018,VSAT014,1,-15.47378727,-11.65013025
5/28/2018,VSAT019,2,-82.29212112,98.21597252
5/26/2018,VSAT018,1,67.34260151,-80.8793751
5/20/2018,VSAT022,6,62.36112551,-85.63994681
5/24/2018,VSAT022,4,74.51785736,28.43467717
5/28/2018,VSAT021,6,79.23562857,10.70124294
5/25/2018,VSAT017,3,48.55178868,21.77262783
5/27/2018,VSAT016,3,-0.698947536,-27.54995902
5/27/2018,VSAT010,1,17.75092389,-74.2278149
5/25/2018,VSAT013,3,-26.90129636,15.29860005
5/24/2018,VSAT018,4,-32.82507941,92.8905441
5/26/2018,VSAT022,5,70.11210793,-17.31055805
5/24/2018,VSAT020,4,-25.97225881,89.02350748
5/23/2018,VSAT013,5,92.77831163,-41.06342279
5/28/2018,VSAT015,2,24.67280677,-91.912513
5/22/2018,VSAT014,1,3.434352829,-90.59634352
5/25/2018,VSAT014,6,-83.78654884,-56.22495739
5/22/2018,VSAT003,3,-68.35322225,97.61302168
5/28/2018,VSAT018,4,-62.84928976,-96.94950856
5/21/2018,VSAT011,2,79.54092771,-81.9351196
5/28/2018,VSAT003,3,-71.22128852,82.44691395
5/27/2018,VSAT014,4,-47.55995919,80.60340298
5/27/2018,VSAT009,2,65.64004463,-7.274615698
5/23/2018,VSAT014,3,39.8971116,-63.84346619
5/24/2018,VSAT002,4,-7.428513133,22.61720367
5/25/2018,VSAT022,3,-45.01918402,-19.91208151
5/25/2018,VSAT017,5,-63.47751931,-98.18607636
5/27/2018,VSAT020,3,76.07431747,62.2318149
5/27/2018,VSAT007,4,70.64340447,74.86177313
5/21/2018,VSAT019,2,-27.72546251,86.13631463
5/26/2018,VSAT011,5,67.10552303,-22.98573057
5/25/2018,VSAT003,1,-26.29630641,77.48557245
5/27/2018,VSAT019,1,34.28748215,-94.96274474
5/20/2018,VSAT017,2,-0.443788076,78.25310776
5/19/2018,VSAT012,2,96.71625062,93.168442
5/23/2018,VSAT007,5,-91.33336302,-76.06936009
5/25/2018,VSAT011,4,-41.59654922,-75.34216276
5/21/2018,VSAT022,5,60.45755133,36.02014671
5/22/2018,VSAT005,1,-28.44057629,2.910450343
5/26/2018,VSAT001,6,38.81037763,-52.79888905
5/22/2018,VSAT017,4,-25.97749033,47.99926011
5/21/2018,VSAT008,1,60.61517333,-53.88914298
5/19/2018,VSAT008,1,61.82482361,-59.0444764
5/19/2018,VSAT015,3,27.11093316,-27.37164858
5/20/2018,VSAT014,3,-14.80594574,36.71802971
5/25/2018,VSAT009,2,95.4655667,-57.40107749
5/22/2018,VSAT022,3,-80.77347967,22.06723507
5/24/2018,VSAT018,1,-58.13831418,-30.02019559
5/24/2018,VSAT006,4,-10.51050743,-39.75339375
5/28/2018,VSAT007,1,16.50024049,-67.4903581
5/21/2018,VSAT012,5,32.39850714,84.02195158
5/25/2018,VSAT005,2,95.76271966,-52.10384077
5/21/2018,VSAT006,1,-87.21106945,49.40107082
5/24/2018,VSAT007,2,-88.81375176,-32.12410146
5/20/2018,VSAT002,4,9.79116912,5.010021547
5/20/2018,VSAT008,5,95.9080048,-87.86102598
5/24/2018,VSAT020,4,-98.92638405,17.74931359
5/25/2018,VSAT001,6,-68.2612654,30.05969328
5/27/2018,VSAT004,4,-25.08859771,-88.06567996
5/28/2018,VSAT012,5,33.68386785,29.02373655
5/19/2018,VSAT006,3,52.32819327,-52.79712498
5/25/2018,VSAT016,4,-73.36079833,-54.8309998
5/21/2018,VSAT019,2,77.48948297,96.23937494
5/22/2018,VSAT023,4,-96.57020979,11.27804221
5/27/2018,VSAT008,2,-5.845204711,-31.21945491
5/24/2018,VSAT014,6,45.93402011,9.508593068
5/24/2018,VSAT019,5,-46.47046515,-31.41724884
5/24/2018,VSAT019,5,-6.169979935,-92.4699501
5/23/2018,VSAT017,4,-36.15466462,-92.45515964
5/26/2018,VSAT008,1,78.02697186,33.22520666
5/20/2018,VSAT003,6,37.19413685,-53.74836202
5/20/2018,VSAT008,2,54.78831445,65.75391746
5/26/2018,VSAT004,6,-46.27879601,-4.552721508
5/27/2018,VSAT002,3,-2.332874336,87.37167155
5/27/2018,VSAT005,2,20.93269435,-95.96263005
5/19/2018,VSAT021,6,-28.21443162,-78.23526484
5/25/2018,VSAT023,6,-9.121717475,-39.38162237
5/24/2018,VSAT006,1,-18.46419409,-0.003453368
5/27/2018,VSAT014,6,9.191025405,18.45430631
5/28/2018,VSAT013,3,-66.34628174,-17.40619648
5/24/2018,VSAT009,3,-81.20734813,-67.5685383
5/26/2018,VSAT019,3,61.10877697,-80.34043117
5/20/2018,VSAT013,1,60.81012893,41.60516103
5/23/2018,VSAT003,2,-61.61963283,80.3209585
5/24/2018,VSAT019,6,66.72957657,7.465000784
5/25/2018,VSAT017,6,-93.67807145,64.25865446
5/27/2018,VSAT012,5,-13.9717396,-71.01196266
5/22/2018,VSAT020,5,-40.80315054,94.91894401
5/21/2018,VSAT017,1,-38.83299921,27.46325221
5/26/2018,VSAT001,5,72.87618556,97.87272128
5/22/2018,VSAT004,1,-15.46172086,50.87944851
5/22/2018,VSAT013,6,70.10995973,-97.85180237
5/22/2018,VSAT011,4,7.676828022,-34.96437437
5/28/2018,VSAT014,6,-69.75207951,-32.59636685
5/19/2018,VSAT017,1,33.02681575,47.74640458
5/22/2018,VSAT010,5,-36.96537794,20.87359649
5/20/2018,VSAT012,6,-28.98863012,7.261247412
5/19/2018,VSAT015,1,28.99234816,-95.57371776
5/21/2018,VSAT001,6,4.484157452,-68.27970567
5/24/2018,VSAT009,1,-92.37154933,88.2284396
5/27/2018,VSAT001,5,-96.48774476,-11.55304376
5/28/2018,VSAT017,5,-67.15282366,-94.89566567
5/21/2018,VSAT009,5,-44.70524111,43.77283644
5/24/2018,VSAT011,4,85.85289976,-80.84420968
5/26/2018,VSAT017,2,-33.68816008,49.04497448
5/23/2018,VSAT002,3,38.3724306,92.92520998
5/27/2018,VSAT023,3,59.41710868,36.67499218
5/20/2018,VSAT009,4,-94.05128726,-67.46320761
5/22/2018,VSAT004,4,81.6993959,47.82475111
5/27/2018,VSAT010,4,55.83247519,59.58024478
5/26/2018,VSAT016,4,70.84319178,-38.05697614
5/24/2018,VSAT018,3,3.981842788,43.20180113
5/26/2018,VSAT010,6,40.40508222,38.33321711
5/23/2018,VSAT001,2,-55.73529608,51.77720575
5/20/2018,VSAT003,4,98.47369706,16.80512493
5/22/2018,VSAT021,2,-36.28457529,40.13160555
5/27/2018,VSAT018,2,91.10024032,-49.3922019
5/21/2018,VSAT013,1,-59.29928628,34.92158138
5/21/2018,VSAT003,6,80.22417053,-53.54991017
5/21/2018,VSAT013,6,49.31438346,86.86425995
5/26/2018,VSAT003,4,-53.41343717,63.93681529
5/25/2018,VSAT013,5,-93.19349115,-87.38796489
5/24/2018,VSAT011,2,-5.34628445,70.96166204
5/19/2018,VSAT011,6,15.28330009,85.47492172
5/27/2018,VSAT013,3,-89.67075415,78.44200747
5/25/2018,VSAT002,6,-88.61172219,-65.8330744
5/24/2018,VSAT012,3,94.30858788,45.80074324
5/19/2018,VSAT017,1,0.14360857,-70.56059727
5/24/2018,VSAT016,5,82.74008297,-71.35887231
5/27/2018,VSAT010,1,92.23447695,-24.49312976
5/25/2018,VSAT011,4,-60.88378836,71.08492801
5/22/2018,VSAT012,6,85.47454733,-52.37133526
5/27/2018,VSAT021,6,86.44866689,71.1283774
5/28/2018,VSAT006,6,-91.96808582,39.15761653
5/27/2018,VSAT005,2,12.26438561,56.33029312
5/24/2018,VSAT007,6,66.7663907,60.42035664
5/21/2018,VSAT007,6,80.34758951,71.90468931
5/21/2018,VSAT018,4,11.70208711,-34.18466315
5/19/2018,VSAT014,5,-78.85042694,98.90823365
5/21/2018,VSAT020,4,-92.04305263,79.10154577
5/20/2018,VSAT019,4,-1.021331665,-94.11192478
5/23/2018,VSAT003,4,-83.74863222,49.75542252
5/28/2018,VSAT003,3,37.31621818,-67.78704069
5/23/2018,VSAT013,2,-45.33001551,-16.43359137
5/28/2018,VSAT014,2,19.52188815,-82.17806331
5/21/2018,VSAT006,6,-74.96009389,-25.57535561
5/26/2018,VSAT012,5,-53.70775983,-89.84919461
5/24/2018,VSAT019,2,-18.87977564,12.2161656
5/28/2018,VSAT013,1,-59.20013984,-65.35255581
5/23/2018,VSAT020,2,69.32176599,32.73841498
5/24/2018,VSAT014,6,95.20055433,-93.63145561
5/25/2018,VSAT022,5,-85.69844914,82.73525523
5/22/2018,VSAT016,2,-56.77711642,-77.82882657
5/26/2018,VSAT001,1,-76.35384127,-85.11579433
5/23/2018,VSAT023,2,-73.09813167,1.547323078
5/20/2018,VSAT009,4,-78.33681559,-63.81968176
5/22/2018,VSAT006,3,30.08548044,-47.03863699
5/27/2018,VSAT021,5,-35.63709632,-9.218745012
5/27/2018,VSAT001,5,-56.53487932,-64.16610745
